train_000000 270
train_000862 arrive
train_000863 from
train_000864 alexandria
train_000865 and
train_000866 fort
train_000867 cumberland
train_000868 with
train_000869 clothing
train_000870 and
train_000871 arms
train_000872 to
train_000873 see
train_000874 the
train_000875 men
train_000876 completely
train_000877 furnished
train_000878 with
train_000879 both
train_000880 and
train_000881 march
train_000882 them
train_000883 immediately
train_000884 to
train_000885 fort
train_000886 cumberland
train_000887 observing
train_000888 to
train_000889 take
train_000890 up
train_000891 all
train_000892 the
train_000893 salt
train_000894 which
train_000895 the
train_000896 waggons
train_000897 provided
train_000898 by
train_000899 the
train_000900 commissary
train_000901 will
train_000902 carry
train_000903 there
train_000904 will
train_000905 come
train_000906 down
train_000907 some
train_000908 of
train_000909 the
train_000910 country
train_000911 wag
train_000912 gons
train_000913 which
train_000914 must
train_000915 also
train_000916 be
train_000917 loaded
train_000918 up
train_000919 with
train_000920 salt
train_000921 as
train_000922 there
train_000923 is
train_000924 some
train_000925 clothing
train_000926 wanting
train_000927 to
train_000928 complete
train_000929 the
train_000930 companies
train_000931 at
train_000932 fort
train_000933 cumberland
train_000934 you
train_000935 are
train_000936 to
train_000937 take
train_000938 up
train_000939 for
train_000940 that
train_000941 purpose
train_000942 forty
train_000943 coats
train_000944 thirty
train_000945 nine
train_000946 waistcoats
train_000947 and
train_000948 fifty
train_000949 six
train_000950 pair
train_000951 of
train_000952 breeches
train_000953 thirty
train_000954 eight
train_000955 hats
train_000956 and
train_000957 eighty
train_000958 shirts
train_000959 which
train_000960 you
train_000961 are
train_000962 to
train_000963 have
train_000964 274
train_000965 letters
train_000966 orders
train_000967 and
train_000968 instructions
train_000969 october
train_000970 1755
train_000971 delivered
train_000972 out
train_000973 to
train_000974 the
train_000975 companies
train_000976 according
train_000977 to
train_000978 the
train_000979 return
train_000980 made
train_000981 me
train_000982 at
train_000983 fort
train_000984 cum
train_000985 berland
train_000986 october
train_000987 26th
train_000988 i
train_000989 have
train_000990 sent
train_000991 more
train_000992 suits
train_000993 than
train_000994 are
train_000995 necessary
train_000996 in
train_000997 case
train_000998 of
train_000999 getting
train_001000 a
train_001001 recruit
train_001002 c
train_001003 you
train_001004 must
train_001005 do
train_001006 the
train_001007 best
train_001008 you
train_001009 can
train_001010 in
train_001011 lodging
train_001012 the
train_001013 men
train_001014 as
train_001015 the
train_001016 barracks
train_001017 in
train_001018 the
train_001019 fort
train_001020 are
train_001021 full
train_001022 as
train_001023 sergeant
train_001024 wil
train_001025 per
train_001026 is
train_001027 waiting
train_001028 the
train_001029 return
train_001030 of
train_001031 the
train_001032 waggons
train_001033 from
train_001034 the
train_001035 fort
train_001036 for
train_001037 necessaries
train_001038 for
train_001039 captain
train_001040 hoggs
train_001041 company
train_001042 so
train_001043 soon
train_001044 as
train_001045 they
train_001046 arrive
train_001047 you
train_001048 are
train_001049 to
train_001050 see
train_001051 that
train_001052 he
train_001053 receives
train_001054 such
train_001055 things
train_001056 as
train_001057 he
train_001058 has
train_001059 orders
train_001060 for
train_001061 and
train_001062 dispatch
train_001063 him
train_001064 immediately
train_001065 if
train_001066 no
train_001067 other
train_001068 horses
train_001069 belong
train_001070 ing
train_001071 to
train_001072 the
train_001073 country
train_001074 can
train_001075 be
train_001076 had
train_001077 here
train_001078 one
train_001079 of
train_001080 the
train_001081 country
train_001082 teams
train_001083 must
train_001084 be
train_001085 stopped
train_001086 and
train_001087 the
train_001088 horses
train_001089 given
train_001090 to
train_001091 him
train_001092 you
train_001093 must
train_001094 engage
train_001095 the
train_001096 herdsmen
train_001097 to
train_001098 remain
train_001099 with
train_001100 the
train_001101 cattle
train_001102 until
train_001103 they
train_001104 hear
train_001105 from
train_001106 the
train_001107 com
train_001108 missary
train_001109 or
train_001110 from
train_001111 me
train_001112 you
train_001113 must
train_001114 engage
train_001115 all
train_001116 the
train_001117 coopers
train_001118 you
train_001119 can
train_001120 to
train_001121 make
train_001122 barrels
train_001123 for
train_001124 packing
train_001125 the
train_001126 beef
train_001127 and
train_001128 if
train_001129 any
train_001130 of
train_001131 the
train_001132 soldiers
train_001133 are
train_001134 coopers
train_001135 they
train_001136 must
train_001137 be
train_001138 set
train_001139 im
train_001140 mediately
train_001141 to
train_001142 work
train_001143 you
train_001144 are
train_001145 to
train_001146 receive
train_001147 from
train_001148 the
train_001149 stores
train_001150 here
train_001151 thirty
train_001152 pounds
train_001153 of
train_001154 goose
train_001155 shot
train_001156 which
train_001157 you
train_001158 will
train_001159 deliver
train_001160 to
train_001161 captain
train_001162 ashby
train_001163 company
train_001164 as
train_001165 you
train_001166 pass
train_001167 by
train_001168 directing
train_001169 him
train_001170 to
train_001171 be
train_001172 particularly
train_001173 care
train_001174 ful
train_001175 of
train_001176 it
train_001177 if
train_001178 either
train_001179 of
train_001180 the
train_001181 captains
train_001182 of
train_001183 the
train_001184 rangers
train_001185 should
train_001186 apply
train_001187 to
train_001188 you
train_001189 for
train_001190 ammu
train_001191 nition
train_001192 you
train_001193 are
train_001194 to
train_001195 supply
train_001196 him
train_001197 from
train_001198 the
train_001199 fort
train_001200 a
train_001201 drummer
train_001202 with
train_001203 his
train_001204 drum
train_001205 is
train_001206 to
train_001207 be
train_001208 sent
train_001209 from
train_001210 this
train_001211 place
train_001212 with
train_001213 sergeant
train_001214 wilper
train_001215 in
train_001216 the
train_001217 room
train_001218 of
train_001219 duncan
train_001220 ferguson
train_001221 letters
train_001222 orders
train_001223 and
train_001224 instructions
train_001225 october
train_001226 1755
train_001227 275
train_001228 who
train_001229 is
train_001230 to
train_001231 go
train_001232 up
train_001233 to
train_001234 fort
train_001235 cumberland
train_001236 you
train_001237 are
train_001238 to
train_001239 see
train_001240 that
train_001241 the
train_001242 men
train_001243 of
train_001244 the
train_001245 virginia
train_001246 regiment
train_001247 are
train_001248 exer
train_001249 cised
train_001250 as
train_001251 often
train_001252 every
train_001253 day
train_001254 as
train_001255 the
train_001256 duty
train_001257 will
train_001258 admit
train_001259 and
train_001260 that
train_001261 they
train_001262 are
train_001263 practised
train_001264 also
train_001265 in
train_001266 shooting
train_001267 at
train_001268 tar
train_001269 gets
train_001270 and
train_001271 if
train_001272 there
train_001273 are
train_001274 any
train_001275 who
train_001276 are
train_001277 remarkably
train_001278 awkward
train_001279 particular
train_001280 pains
train_001281 must
train_001282 be
train_001283 taken
train_001284 with
train_001285 them
train_001286 you
train_001287 must
train_001288 observe
train_001289 on
train_001290 your
train_001291 march
train_001292 good
train_001293 order
train_001294 and
train_001295 discipline
train_001296 and
train_001297 see
train_001298 that
train_001299 no
train_001300 irregu
train_001301 larities
train_001302 happen
train_001303 and
train_001304 that
train_001305 the
train_001306 men
train_001307 are
train_001308 not
train_001309 allowed
train_001310 to
train_001311 pillage
train_001312 the
train_001313 country
train_001314 which
train_001315 was
train_001316 very
train_001317 much
train_001318 complained
train_001319 of
train_001320 in
train_001321 the
train_001322 last
train_001323 detachment
train_001324 you
train_001325 are
train_001326 to
train_001327 apply
train_001328 to
train_001329 major
train_001330 lewis
train_001331 for
train_001332 the
train_001333 in
train_001334 structions
train_001335 which
train_001336 i
train_001337 left
train_001338 with
train_001339 him
train_001340 and
train_001341 see
train_001342 that
train_001343 they
train_001344 are
train_001345 observed
train_001346 given
train_001347 under
train_001348 my
train_001349 hand
train_001350 c
train_001351 winchester
train_001352 october
train_001353 gw
train_001354 29th
train_001355 1755
train_001356 29th
train_001357 to
train_001358 mr
train_001359 commissary
train_001360 dick
train_001361 you
train_001362 are
train_001363 so
train_001364 soon
train_001365 as
train_001366 you
train_001367 arrive
train_001368 here
train_001369 to
train_001370 give
train_001371 such
train_001372 directions
train_001373 as
train_001374 you
train_001375 shall
train_001376 see
train_001377 necessary
train_001378 about
train_001379 driving
train_001380 the
train_001381 cattle
train_001382 to
train_001383 fort
train_001384 cumberland
train_001385 you
train_001386 are
train_001387 to
train_001388 send
train_001389 up
train_001390 doctor
train_001391 walker
train_001392 or
train_001393 go
train_001394 yourself
train_001395 there
train_001396 to
train_001397 see
train_001398 them
train_001399 killed
train_001400 and
train_001401 properly
train_001402 salted
train_001403 whichever
train_001404 of
train_001405 you
train_001406 remains
train_001407 here
train_001408 must
train_001409 purchase
train_001410 such
train_001411 a
train_001412 quantity
train_001413 of
train_001414 pork
train_001415 as
train_001416 you
train_001417 imagine
train_001418 will
train_001419 be
train_001420 necessary
train_001421 for
train_001422 the
train_001423 troops
train_001424 upon
train_001425 the
train_001426 most
train_001427 reasonable
train_001428 terms
train_001429 you
train_001430 can
train_001431 and
train_001432 oblige
train_001433 them
train_001434 to
train_001435 deliver
train_001436 it
train_001437 at
train_001438 whatever
train_001439 time
train_001440 you
train_001441 shall
train_001442 judge
train_001443 most
train_001444 proper
train_001445 you
train_001446 are
train_001447 to
train_001448 answer
train_001449 out
train_001450 of
train_001451 the
train_001452 money
train_001453 in
train_001454 your
train_001455 hands
train_001456 whatever
train_001457 draughts
train_001458 captain
train_001459 hogg
train_001460 may
train_001461 draw
train_001462 on
train_001463 you
train_001464 for
train_001465 the
train_001466 subsistance
train_001467 of
train_001468 his
train_001469 company
train_001470 from
train_001471 time
train_001472 to
train_001473 time
train_001474 you
train_001475 are
train_001476 to
train_001477 see
train_001478 that
train_001479 coopers
train_001480 are
train_001481 engaged
train_001482 to
train_001483 make
train_001484 barrels
train_001485 for
train_001486 the
train_001487 provisions
train_001488 and
train_001489 to
train_001490 276
train_001491 letters
train_001492 orders
train_001493 and
train_001494 instructions
train_001495 october
train_001496 1755
train_001497 provide
train_001498 all
train_001499 other
train_001500 necessaries
train_001501 for
train_001502 the
train_001503 expedition
train_001504 which
train_001505 you
train_001506 know
train_001507 will
train_001508 be
train_001509 wanted
train_001510 as
train_001511 there
train_001512 are
train_001513 several
train_001514 contracts
train_001515 made
train_001516 by
train_001517 me
train_001518 to
train_001519 have
train_001520 cattle
train_001521 delivered
train_001522 here
train_001523 c
train_001524 by
train_001525 the
train_001526 1st
train_001527 of
train_001528 next
train_001529 month
train_001530 i
train_001531 desire
train_001532 that
train_001533 for
train_001534 such
train_001535 as
train_001536 you
train_001537 receive
train_001538 up
train_001539 on
train_001540 that
train_001541 account
train_001542 if
train_001543 you
train_001544 have
train_001545 money
train_001546 in
train_001547 your
train_001548 hands
train_001549 you
train_001550 make
train_001551 immediate
train_001552 payment
train_001553 given
train_001554 c
train_001555 winchester
train_001556 october
train_001557 gw
train_001558 29th
train_001559 1755
train_001560 29th
train_001561 winchester
train_001562 october
train_001563 29th
train_001564 1755
train_001565 parole
train_001566 williamsburgh
train_001567 one
train_001568 subaltern
train_001569 one
train_001570 sergeant
train_001571 one
train_001572 corporal
train_001573 one
train_001574 drummer
train_001575 and
train_001576 twenty
train_001577 five
train_001578 private
train_001579 men
train_001580 the
train_001581 guard
train_001582 today
train_001583 captain
train_001584 peachy
train_001585 is
train_001586 ordered
train_001587 to
train_001588 take
train_001589 upon
train_001590 him
train_001591 the
train_001592 command
train_001593 of
train_001594 the
train_001595 recruits
train_001596 which
train_001597 arrived
train_001598 here
train_001599 under
train_001600 lieutenant
train_001601 hall
train_001602 and
train_001603 ensign
train_001604 price
train_001605 who
train_001606 are
train_001607 also
train_001608 ordered
train_001609 to
train_001610 act
train_001611 under
train_001612 him
train_001613 until
train_001614 further
train_001615 orders
train_001616 ensign
train_001617 hedgeman
train_001618 and
train_001619 the
train_001620 recruits
train_001621 which
train_001622 arrived
train_001623 with
train_001624 him
train_001625 are
train_001626 ordered
train_001627 to
train_001628 join
train_001629 lieutenant
train_001630 king
train_001631 and
train_001632 be
train_001633 under
train_001634 his
train_001635 command
train_001636 until
train_001637 further
train_001638 orders
train_001639 lieutenant
train_001640 eustace
train_001641 and
train_001642 the
train_001643 eight
train_001644 men
train_001645 with
train_001646 him
train_001647 are
train_001648 to
train_001649 join
train_001650 as
train_001651 soon
train_001652 as
train_001653 they
train_001654 arrive
train_001655 at
train_001656 fort
train_001657 cumberland
train_001658 the
train_001659 company
train_001660 which
train_001661 captain
train_001662 waggener
train_001663 commands
train_001664 at
train_001665 present
train_001666 and
train_001667 the
train_001668 party
train_001669 left
train_001670 with
train_001671 sergeant
train_001672 shaw
train_001673 is
train_001674 to
train_001675 re
train_001676 turn
train_001677 to
train_001678 their
train_001679 respective
train_001680 companies
train_001681 so
train_001682 soon
train_001683 as
train_001684 they
train_001685 reach
train_001686 the
train_001687 fort
train_001688 the
train_001689 commissary
train_001690 is
train_001691 to
train_001692 see
train_001693 that
train_001694 the
train_001695 magazine
train_001696 is
train_001697 secured
train_001698 by
train_001699 fastening
train_001700 up
train_001701 the
train_001702 windows
train_001703 c
train_001704 better
train_001705 than
train_001706 they
train_001707 now
train_001708 are
train_001709 the
train_001710 officers
train_001711 are
train_001712 to
train_001713 see
train_001714 that
train_001715 the
train_001716 men
train_001717 are
train_001718 clo
train_001719 letters
train_001720 orders
train_001721 and
train_001722 instructions
train_001723 october
train_001724 1755
train_001725 277
train_001726 thed
train_001727 tomorrow
train_001728 and
train_001729 to
train_001730 be
train_001731 very
train_001732 particular
train_001733 in
train_001734 their
train_001735 accounts
train_001736 of
train_001737 what
train_001738 they
train_001739 receive
train_001740 they
train_001741 will
train_001742 also
train_001743 receive
train_001744 arms
train_001745 so
train_001746 soon
train_001747 as
train_001748 they
train_001749 arrive
train_001750 from
train_001751 fort
train_001752 cumberland
train_001753 to
train_001754 complete
train_001755 their
train_001756 recruits
train_001757 they
train_001758 are
train_001759 to
train_001760 see
train_001761 that
train_001762 each
train_001763 man
train_001764 distinguishes
train_001765 his
train_001766 firelock
train_001767 by
train_001768 some
train_001769 particular
train_001770 mark
train_001771 which
train_001772 the
train_001773 sub
train_001774 alterns
train_001775 of
train_001776 the
train_001777 company
train_001778 are
train_001779 to
train_001780 enter
train_001781 in
train_001782 a
train_001783 book
train_001784 they
train_001785 are
train_001786 to
train_001787 keep
train_001788 for
train_001789 that
train_001790 purpose
train_001791 every
train_001792 officer
train_001793 is
train_001794 to
train_001795 provide
train_001796 an
train_001797 orderly
train_001798 book
train_001799 to
train_001800 enter
train_001801 the
train_001802 orders
train_001803 in
train_001804 as
train_001805 they
train_001806 issue
train_001807 every
train_001808 day
train_001809 regularly
train_001810 that
train_001811 they
train_001812 may
train_001813 examine
train_001814 them
train_001815 often
train_001816 and
train_001817 see
train_001818 they
train_001819 are
train_001820 duly
train_001821 complied
train_001822 with
train_001823 captain
train_001824 bronaugh
train_001825 lieutenant
train_001826 stewart
train_001827 blegg
train_001828 and
train_001829 williams
train_001830 sent
train_001831 recruiting
train_001832 and
train_001833 to
train_001834 rendezvous
train_001835 at
train_001836 alexandri
train_001837 a
train_001838 the
train_001839 1st
train_001840 of
train_001841 december
train_001842 gw
train_001843 31st
train_001844 to
train_001845 captain
train_001846 robert
train_001847 spotswood
train_001848 of
train_001849 the
train_001850 virginia
train_001851 regiment
train_001852 you
train_001853 are
